DIAGNOSIS,count
CHEST PAIN;TELEMETRY,109
ST ELEVATED MYOCARDIAL INFARCTION,108
DEHYDRATION,107
ETOH WITHDRAWAL,103
PERICARDIAL EFFUSION,102
SYNCOPE;TELEMETRY,101
PREMATURITY,97
HYPERBILIRUBINEMIA,96
ACUTE MYOCARDIAL INFARCTION\CATH,95
ABDOMINAL AORTIC ANEURYSM,94
SUBDURAL HEMORRHAGE,94
ESOPHAGEAL CA/SDA,92
INTRAPARENCHYMAL HEMORRHAGE,91
HYPERKALEMIA,90
CEREBROVASCULAR ACCIDENT,90
PLEURAL EFFUSION,88
UNSTABLE ANGINA\CATH,86
RENAL FAILURE,84
STATUS POST MOTOR VEHICLE ACCIDENT WITH INJURIES,82
TRAUMA,82
AORTIC STENOSIS,81
ASTHMA/COPD EXACERBATION,80
SEIZURES,80
STROKE;TELEMETRY,79
ENDOCARDITIS,78
UNRESPONSIVE,77
+ETT\CATH,77
PULMONARY EMBOLISM,76
ASTHMA;CHRONIC OBST PULM DISEASE,76
FAILURE TO THRIVE,72
NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION,72
STROKE,71
HYPOGLYCEMIA,71
HIP FRACTURE,70
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH AVR /SDA,70
CEREBRAL ANEURYSM/SDA,69
INTRACRANIAL BLEED,69
SYNCOPE,67
HEADACHE,66
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT/SDA,65
S/P CARDIAC ARREST,64
COPD EXACERBATION,64
ANGIOEDEMA,64
ESOPHAGEAL CANCER/SDA,63
HYPERGLYCEMIA,62
MORBID OBESITY/SDA,60
COMPLETE HEART BLOCK,60
ANEURYSM/SDA,59
PULMONARY EDEMA,57
ATRIAL FIBRILLATION,57
MENTAL STATUS CHANGES,56
HYPERTENSIVE EMERGENCY,55
RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,53
WOUND INFECTION,53
HEPATIC ENCEPHALOPATHY,53
VENTRICULAR TACHYCARDIA,51
PNEUMONIA;TELEMETRY,50
LUNG CA/SDA,50
PANCREATIC MASS/SDA,50
AIRWAY OBSTRUCTION,49
CHEST PAIN\CARDIAC CATH,49
TYLENOL OVERDOSE,48
COLITIS,48
ALCOHOL WITHDRAWAL,47
POLYTRAUMA,47
PULMONARY EMBOLUS,47
PEDESTRIAN STRUCK,47
HEAD INJURY,46
SEPSIS;TELEMETRY,45
HYPERTENSION,45
URINARY TRACT INFECTION,44
HYPERTENSIVE URGENCY,43
END STAGE LIVER DISEASE,43
CHRONIC OBST PULM DISEASE,42
CIRRHOSIS,42
LYMPHOMA,42
STATUS EPILEPTICUS,42
TRACHEAL STENOSIS,41
LEUKEMIA,41
SCOLIOSIS/SDA,41
BACK PAIN,40
SAH,40
LIVER LACERATION,39
VARICEAL BLEED,39
PELVIC FRACTURE,38
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT ,38
AORTIC STENOSIS\CORONARY ARTERY BYPASS GRAFT WITH AVR /SDA,38
CORONARY ARTERY DISEASE\CARDIAC CATH,38
LUNG CANCER/SDA,38
CAROTID STENOSIS/SDA,37
SPLENIC LACERATION,37
BRAIN TUMOR,37
GUN SHOT WOUND,37
RULE-OUT MYOCARDIAL INFARCTION,36
MOTOR VEHICLE ACCIDENT,36
SEPTIC SHOCK,36
ASPIRATION PNEUMONIA,36
S/P PEDESTRIAN STRUCK,36
STROKE-TRANSIENT ISCHEMIC ATTACK,36
STERNAL WOUND INFECTION,36
ORGAN DONOR ACCOUNT,35
INTRACRANIAL HEMORRHAGE;TELEMETRY,35
TACHYCARDIA,34
LUMBAR STENOSIS/SDA,34
ASTHMA,34
CHRONIC RENAL FAILURE/SDA,34
BRAIN MASS/SDA,33
UTI/PYELONEPHRITIS,33
BRAIN ANEURYSM/SDA,33
ENCEPHALOPATHY,33
HEART FAILURE,32
MOTOR VEHICLE ACCIDENT WITH UNSPECIFIED INJURIES,32
CONGESTIVE HEART FAILURE\CATH,32
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT ,31
PELVIC MASS/SDA,31
BACTEREMIA,31
GASTROINTESTINAL BLEED;TELEMETRY,31
FEMUR FRACTURE,31
ANGINA\CATH,30
NON Q MI\CATH,30
SUBARACHNOID HEMATOMA,30
AORTIC STENOSIS\CATH,29
LUNG CANCER,29
CHRONIC RENAL FAILURE,29
MOTOR VEHICLE ACCIDENT\INJURIES,29
ANEURYSM,29
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT,29
HEMATURIA,29
ETOH INTOXICATION,28
PNEUMOTHORAX,28
DIVERTICULITIS,28
ASTHMA EXACERBATION,28
CAD,28
MULTIPLE TRAUMA,28
VENTRAL HERNIA/SDA,28
CORONARY ARTERY DISEASE\ANGIOPLASTY,28
ICH,28
MITRAL REGURGITATION,27
MENINGITIS,27
HEAD TRAUMA,27
CAROTID STENOSIS\CAROTID ANGIOGRAM,27
CONGESTIVE HEART FAILURE;TELEMETRY,27
EPIDURAL ABSCESS,27
R/O MI,27
S/P ARREST,27
CARDIOGENIC SHOCK,26
S/P ASSAULT,26
ACUTE LEUKEMIA,26
BLADDER CANCER/SDA,26
ASCITES,26
BRIGHT RED BLOOD PER RECTUM,26
ACUTE MI,26
INCISIONAL HERNIA/SDA,25
S/P FALL;TELEMETRY,25
CHF EXACERBATION,25
,25
HEMOTHORAX,25
HYPOTHERMIA,25
MR\MITRAL VALVE REPLACEMENT MINIMALLY INVASIVE APPROACH/SDA,25
CLAUDICATION/SDA,25
HYDROCEPHALUS,24
RETROPERITONEAL BLEED,24
EPIDURAL HEMATOMA,24
DRUG REFRACTORY ATRIAL FIBRILLATION\PULMONARY VEIN ISOLATION  **REMOTE WEST**/SDA,24
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH MVR /SDA,24
FALL,24
JAUNDICE,24
BLADDER CA/SDA,24
UPPER GI BLEED;TELEMETRY,24
STAB WOUND,23
UNSTABLE ANGINA\LEFT HEART CATHETERIZATION,23
RESPIRATORY ARREST,23
CHANGE IN MENTAL STATUS,23
HEART BLOCK,23
ACUTE MYOCARDIAL INFARCTION\CARDIAC CATH,23
END STAGE RENAL DISEASE,23
DEEP VEIN THROMBOSIS,23
MYOCARDIAL INFARCTION\CARDIAC CATH,22
TRACHEOBRONCHOMALACIA/SDA,22
ANGINA,22
CVA,22
HEAD MASS,22
S/P MVA,22
LIVER MASS/SDA,22
CHEST PAIN;+ETT\CATH,22
LIVER TRANSPLANT,21
MENINGIOMA/SDA,21
DIARRHEA,21
ST ELEVATION MI,21
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; WITH AVR/SDA,20
CONGESTIVE HEART FAILURE;PNEUMONIA,20
INTRACEREBRAL HEMORRHAGE,20
ISCHEMIC BOWEL,20
COPD FLARE,20
APPENDICITIS,20
CEREBRAL VASCULAR ACCIDENT,20
STROKE;TIA,20
TRANSIENT ISCHEMIC ATTACK,20
CAROTID STENOSIS,20
NECROTIZING PANCREATITIS,20
INTERCRANIAL HEMORRHAGE,20
"STROKE,TRANSIENT ISCHEMIC ATTACK",20
HEPATIC FAILURE,20
MITRAL STENOSIS\MITRAL VALVE REPLACEMENT /SDA,20
ACUTE PANCREATITIS,20
PERFORATED BOWEL,20
MESENTERIC ISCHEMIA,20
S/P MI\CATH,20
DIVERTICULITIS/SDA,19
GALLSTONE PANCREATITIS,19
FEBRILE NEUTROPENIA,19
ALTERED MENTAL STATUS;TELEMETRY,19
AORTIC ANEURYSM,19
ABSCESS,19
HEPATITIS,19
THORACIC ANEURYSM/SDA,19
PNEUMONIA;SEPSIS,19
S/P MOTORCYCLE ACCIDENT,18
THROMBOCYTOPENIA,18
ISCHEMIC FOOT,18
PERIPHERAL VASCULAR DISEASE,17
C2 FRACTURE,17
DKA,17
ACUTE CORONARY SYNDROME\CATH,17
SUBDURAL BLEED,17
MR\MITRAL VALVE REPLACEMENT/SDA,17
NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION\CATH,17
SOB,17
INTRACRANIAL MASS,17
CEREBRAL ANEURYSM,17
SUB ARACHNOID HEMORRHAGE,17
ABDOMINAL ABSCESS,17
FEVER;HYPOTENSION,17
BOWEL PERFORATION,17
PULMONARY EMBOLI,17
"ASTHMA,COPD EXACERBATION",17
ACUTE LIVER FAILURE,17
TYLENOL OD,17
VOMITING,17
SUBARACHNOID HEMORRHAGE;TELEMETRY,17
(AML) ACUTE MYELOGENOUS LEUKEMIA,17
HEMATEMESIS,17
LEFT HIP FRACTURE,17
NON ST ELEVATION MI,16
STROKE;TRANSIENT ISCHEMIC ATTACK,16
IMI,16
BREAST CANCER/SDA,16
ANAPHYLAXIS,16
DIABETIC KETOACIDOSIS;TELEMETRY,16
HEMATOMA,16
COLON CA/SDA,16
UNSTABLE ANGINA;TELEMETRY\CATH,16
CORD COMPRESSION,16
CORONARY ARTERY DISEASE/SDA,16
INCARCERATED HERNIA,16
STROKE;TELEMETRY;TELEMETRY,16
FEVER OF UNKNOWN ORIGIN,16
MENTAL STATUS CHANGE,16
ALLERGIC REACTION,16
"MITRAL REGURGITATION\MITRAL VALVE REPLACEMENT,HEART PORT MINIMALLY INVASIVE /SDA",16
UNSTABLE ANGINA\CARDIAC CATH,16
TRACHEAL STENOSIS/SDA,16
SUBDURAL HEMATOMA/SDA,16
PANCREATIC PSEUDOCYST,15
MVA,15
CHIARI MALFORMATION/SDA,15
ABD PAIN,15
MULTIPLE MYELOMA\BONE MARROW TRANSPLANT,15
SHOCK,15
MI,15
R/O MYOCARDIAL INFARCTION,15
ACUTE CHOLECYSTITIS,15
RENAL CA/SDA,15
STEMI\CARDIAC CATH,15
COLON CANCER/SDA,15
CARDIAC TAMPONADE,15
RIGHT HIP FRACTURE,15
ACUTE RENAL FAILURE;TELEMETRY,15
ETOH WITHDRAWL,15
PNEUMONIA;CONGESTIVE HEART FAILURE,15
CORONARY ARTERY DISEASE;AORTIC STENOSIS,15
EPISTAXIS,15
ST-SEGMENT ELEVATION MYOCARDIAL INFARCTION\CATH,15
METASTATIC MELANOMA,14
AORTIC DISECTION,14
CARDIOMYOPATHY,14
EMPYEMA,14
PERICARDIAL TAMPONADE,14
ASTHMA-COPD EXACERBATION,14
UGIB,14
EPILEPSY/SDA,14
HEMORRHAGIC STROKE,14
MEDIASTINAL MASS,14
CEREBROVASCULAR ACCIDENT;TELEMETRY,14
PANCREATIC MASS,14
PULMONARY EDEMA\CATH,14
SKULL FRACTURE,14
MYASTHENIA GRAVIS,14
RECTAL BLEEDING,14
DRUG OVERDOSE,14
CEREBELLAR HEMORRHAGE,14
RIGHT UPPER LOBE NODULE/SDA,13
NECK MASS,13
CONGESTIVE HEART FAILURE EXACERBATION,13
AORTIC STENOSIS;CORONARY ARTERY DISEASE,13
STRIDOR,13
S/P TRAUMA,13
SPINAL CORD INJURY,13
NAUSEA;VOMITING,13
HYPOTENSION;TELEMETRY,13
OSTEOMYELITIS,13
RENAL CANCER/SDA,13
MYOCARDIAL INFARCT,13
RIGHT BREAST CANCER/SDA,13
LOWER GI BLEED;TELEMETRY,13
CORONARY ARTERY DISEASE\LEFT HEART CATHETERIZATION,13
GASTROPARESIS,12
HYPERNATREMIA,12
NEUTROPENIA,12
KIDNEY TRANSPLANT,12
S/P MI,12
CORONARY ARTERY DISEASE;+ETT\CATH,12
SPONTANEOUS BACTERIAL PERITONITIS,12
CONGESTIVE HEART FAILURE\Transcatheter Aortic Valve Implant (TAVI) with Pump Stand-by (CoreValve) ,12
R/O SEPSIS,12
GANGRENE,12
CHEST PAIN\LEFT HEART CATHETERIZATION,12
NEUTROPENIC FEVER,12
MITRAL REGURGITATION\MITRAL VALVE REPLACEMENT /SDA,12
BILE LEAK,12
SHORTNESS OF BREATH;TELEMETRY,12
RECTAL CANCER/SDA,12
ABDOMINAL PAIN;TELEMETRY,12
V TACH,12
PYELONEPHRITIS,12
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT;AORTIC VALVE REPLACEMENT/SDA,12
ARDS,12
CEREBELLAR BLEED,11
CRF/SDA,11
CROHN'S DISEASE/SDA,11
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,11
CHEST PAIN/CATH,11
VTACH,11
TRACHEOBRONCHIOMALACIA/SDA,11
LUNG CA,11
ST ELEVATION MYOCARDIAL INFARCTION,11
ULCERATIVE COLITIS,11
CONGESTIVE HEART FAILURE;AORTIC STENOSIS,11
CLOSED HEAD INJURY,11
ISCHEMIC COLITIS,11
AIRWAY OBSTRUCTION/SDA,11
RIGHT HIP OA/SDA,11
DYSPNEA;TELEMETRY,11
MITRAL VALVE DISORDER\MITRAL VALVE REPLACEMENT /SDA,11
SEVERE HYPERTROPHIC CARDIOMYOPATHY\SEPTAL ETHANOL ABLATION,11
PANCYTOPENIA,11
RASH,11
LUNG MASS,11
GASTROINTESTINAL BLEEDING,11
CHEST PAIN;CORONARY ARTERY DISEASE\CATH,11
SUBARACHNOID BLEED,11
CORONARY ARTERY DISEASE;TELEMETRY,11
C1 FRACTURE,11
THORACIC AORTIC ANEURYSM,11
RIGHT RENAL MASS/SDA,11
PERITONITIS,11
SUPRAVENTRICULAR TACHYCARDIA,11
ST-SEGMENT ELEVATION MYOCARDIAL INFARCTION\CARDIAC CATH,11
HEPATOCELLULAR CARCINOMA/SDA,11
ESOPHAGEAL FOREIGN BODY,11
RAPID AFIB,11
AORTIC VALVE INSUFFICIENCY\AORTIC VALVE REPLACEMENT /SDA,11
MELENA,11
PANCREAS TRANSPLANT,11
CONGESTIVE HEART FAILURE;HYPOTENSION,11
NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION\CARDIAC CATH,11
CHOLEDOCHOLITHIASIS,11
TAMPONADE,11
CORONARY ARTERY DISEASE\LEFT HEART CATH,10
AICD FIRING,10
ACUTE STROKE,10
PANCREATIC CA/SDA,10
RAPID A-FIB,10
ENTEROCUTANEOUS FISTULA,10
POLYSUBSTANCE OVERDOSE,10
CARDIAC CATH,10
"FEVER,ETIOLOGY UNKNOWN",10
ACUTE SUBDURAL HEMATOMA;TELEMETRY,10
PROSTATE CANCER/SDA,10
TRACHEOBRONCHIAL MALACIA,10
ISCHEMIC LEFT FOOT,10
STABBING,10
CERVICAL SPINE FRACTURE,10
CAROTID STENOSIS\CAROTID ANGIOGRAM AND STENT,10
NORMAL PREGNANCY,10
HYPOKALEMIA,10
ADULT RESPIRATORY DISTRESS SYNDROME,10
ANGINA;+ETT\CATH,10
PROSTATE CA/SDA,10
ESOPHAGEAL PERFORATION,10
INTOXICATION,10
RUPTURED AAA,10
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH AVR ,10
LEG PAIN,10
SUBARACHNOID HEMORRHAGE;ACUTE SUBDURAL HEMATOMA,10
INTRAPARENCHYMAL BLEED,10
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT,10
NEW BRAIN MASS,10
RHABDOMYOLYSIS,10
DYSPHAGIA,10
FEVER;NEUTROPENIA,10
MULTI TRAUMA,10
ABDOMINAL ABCESS,9
LUNG MASS/SDA,9
PERFORATED DIVERTICULITIS,9
AMS,9
ANKLE FRACTURE,9
MR\MITRAL VALVE REPLACEMENT; HEART PORT MINIMALLY INVASIVE/SDA,9
CORONARY ARTERY DISEASE;CHEST PAIN,9
HEPATORENAL SYNDROME,9
PULMONARY EMBOLIS;TELEMETRY,9
CENTRAL AIRWAY OBSTRUCTION,9
TYPE A DISSECTION,9
HIP PAIN,9
HYPERCALCEMIA,9
PULMONARY HYPERTENSION,9
CHEST PAIN\CARDIAC CATHETERIZATION,9
HYPOXIA;TELEMETRY,9
FEVERS,9
AORTIC STENOSIS\CORONARY ARTERY BYPASS GRAFT WITH AVR ,9
LITHIUM TOXICITY,9
LIVER FAILURE;RENAL FAILURE,9
AAA,9
AORTIC INSUFFICIENCY\AORTIC VALVE REPLACEMENT /SDA,9
ISCHEMIC RIGHT FOOT,9
INTRAVENTRICULAR HEMORRHAGE,9
ACUTE RESPIRATORY DISTRESS SYNDROME,9
ATRIAL FIBRILLATION;TELEMETRY,9
THORACIC ANEURYSM,9
OVARIAN CANCER/SDA,9
ASCENDING CHOLANGITIS,9
SPINAL STENOSIS/SDA,9
S/P HANGING,9
CEREBELLAR MASS,9
PAIN CONTROL,9
ATRIAL FIBRILLATION\PHARMACOLOGICAL / NON PHARM MGMT AFIB ABLATION  **REMOTE WEST**/SDA,9
TRACHEAL OBSTRUCTION,9
CORONARY ARTERY DISEASE\STENT PLACEMENT,9
SUBDURAL HEMATOMA;TELEMETRY,9
PNEUMONIA;CHRONIC OBST PULM DISEASE,9
AMPULLARY MASS/SDA,9
S/P STABBING,9
KYPHOSIS/SDA,9
CEREBRAL HEMORRHAGE,9
AORTIC VALVE DISORDER\AORTIC VALVE REPLACEMENT /SDA,9
INFERIOR MYOCARDIAL INFARCTION,9
ARRHYTHMIA,9
CHEST PAIN;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,9
PLEURAL EFFUSION/SDA,9
LEFT LUNG CA/SDA,9
ANEMIA;TELEMETRY,9
LETHARGY,9
CHF,9
NEAR DROWNING,9
CAROTID ARTERY STENOSIS\CAROTID ANGIOGRAM,9
ORGAN DONOR,9
WITHDRAWAL,9
LEFT CAROTID STENOSIS/SDA,9
S/P MVC,9
SEPSIS;PNEUMONIA,9
VT,8
SUBGLOTTIC STENOSIS,8
INTERSTITIAL LUNG DISEASE,8
UNSTABLE ANGINA;TELEMETRY,8
LEFT RENAL MASS/SDA,8
INFECTED GRAFT,8
PANCREATIC CANCER/SDA,8
V-TACH,8
CERVICAL STENOSIS/SDA,8
CHEST PAIN;RULE-OUT MYOCARDIAL INFARCTION,8
MYOCARDIAL INFARCTION/CATH,8
HEMOPERITONEUM,8
3RD DEGREE HEART BLOCK,8
VENTRICULAR TACHYCARDIA\VENTRICULAR TACHYCARDIA ABLATION,8
MITRAL VALVE DISEASE,8
LIVER TX,8
NON-Q-WAVE MYOCARDIAL INFARCTION\CARDIAC CATH,8
PELVIC FX,8
CORONARY ARTERY DISEASE\AORTIC VALVE REPLACEMENT /SDA,8
ACUTE MYELOGENOUS LEUKEMIA,8
ENDOMETRIAL CANCER/SDA,8
CHOLANGIOCARCINOMA/SDA,8
RETROPERITONEAL HEMATOMA,8
PANCREATIC CANCER,8
HYPERCARBIC RESPIRATORY FAILURE,8
THYROID NEOPLASM UNCERTAIN TYPE/SDA,8
LEFT HIP OA/SDA,8
NON HEALING ULCER,8
UTI;PYELONEPHRITIS,8
ALCOHOL INTOXICATION,8
CERVICAL MYELOPATHY/SDA,8
V-FIB ARREST,8
R/O STROKE,8
CORONARY ARTERY DISEASE;MITRAL REGURGITATION,8
PERFORATED DUODENUM,8
SEIZURE;TELEMETRY,8
ST ELEVATED MYOCARDIAL INFARCTION\CARDIAC CATH,8
HERNIA,8
EPIGLOTTITIS,8
ULCERATIVE COLITIS CHRONIC/SDA,8
CONGESTIVE HEART FAILURE;CHRONIC OBST PULM DISEASE,8
FOREIGN BODY IN ESOPHAGUS,8
VOLVULUS,8
CONFUSION,8
RECTAL PROLAPSE,8
OBSTRUCTION,8
GASTRIC CANCER/SDA,8
OVARIAN CANCER,8
CARDIOMYOPATHY\CATH,8
OBSTRUCTIVE JAUNDICE,8
S/P MOTOR VEHICLE ACCIDEMT,8
POST ARREST,8
PERICARDIAL EFFUSION\PERICARDIAL TAP,8
HIP FX,8
"MR\MITRAL VALVE REPLACEMENT,HEART PORT MINIMALLY INVASIVE /SDA",8
INTRA CRANIAL HEMORRHAGE,8
ESOPHAGEAL VARICES,8
"URINARY TRACT INFECTION,PYELONEPHRITIS",8
ARRYTHMIA,8
POLY TRAUMA,8
CORONARY ARTERY DISEASE;CHEST PAIN\CATH,8
SDH,8
+ETT;CORONARY ARTERY DISEASE\CATH,8
BILE DUCT INJURY,8
MENINGIOMA,8
LGIB,7
RIGHT KNEE OA/SDA,7
PERICARDIAL EFFUSION\CATH,7
G.I. BLEED,7
GALLSTONES,7
ACIDOSIS,7
RIB FRACTURES,7
EKG CHANGES,7
COLON CANCER,7
S/P VFIB ARREST,7
UNRESPONSIVENESS,7
PED STRUCK,7
NON ST ELEVATION MYOCARDIAL INFARCTION\CARDIAC CATHETERIZATION,7
STE MYOCARDIAL INFARCTION,7
PEA ARREST,7
RESP DISTRESS,7
SUBDURAL,7
OVERDOSE;TELEMETRY,7
BREAST CA/SDA,7
ALCOHOL WITHDRAWL,7
NAUSEA-VOMITING,7
HEAD BLEED;TELEMETRY,7
NON ST ELEVATION MYOCARDIAL INFARCTION,7
GANGRENE RIGHT FOOT,7
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT REDO /SDA,7
STAB WOUNDS,7
ISCHEMIC LEG,7
STROKE;TRANSIENT ISCHEMIC ATTACK (TIA),7
RIGHT LUNG CA/SDA,7
THORACIC DISSECTION,7
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT REDO /SDA,7
MULTIPLE STAB WOUNDS,7
LEFT FEMUR FRACTURE,7
ARTERIAL OCCLUSION,7
LUMBAR SPINAL STENOSIS/SDA,7
NAUSEA,7
C SPINE FRACTURE,7
LEFT UPPER LOBE NODULE/SDA,7
AORTIC VALVE DISEASE\CATH,7
MITRAL STENOSIS\MITRAL VALVE REPLACEMENT ,7
CORONARY ARTERY DISEASE;CP,7
POST PROCEDURE ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY,7
LUMBAR SPONDYLOSIS/SDA,7
AORTIC STENOSIS\AORTIC AND MITRAL VALVE REPLACEMENT /SDA,7
CONSTIPATION,7
PITUITARY TUMOR/SDA,7
CHEST PAIN/ CATH,7
INTRAVENTRICULAR BLEED,7
ESOPHAGEAL OBSTRUCTION,7
SYNCOPE;TELEMETRY;TELEMETRY,7
SPLENIC RUPTURE,7
INTRACRANIAL HEMMORHAGE,7
PANCREATIC FISTULA,7
ACUTE MYOCARDIAL INFARCTION;TELEMETRY,7
ST ELEVATION MI\CATH,7
FOUND DOWN,7
AORTIC STENOSIS\CARDIAC CATH,7
CHEST TRAUMA,7
BLADDER CANCER,7
PNEUMONIA;URINARY TRACT INFECTION,7
ASPIRATION,7
TRACHEOBRONCHOMALACIA,7
PNEUMONIA;HYPOTENSION,7
ESOPHAGEAL CANCER,7
ETOH CIRRHOSIS,7
STATUS ASTHMATICUS,7
AORTIC VALVE DISEASE,7
COMMON BILE DUCT STONE,7
CHRONIC OBST PULM DISEASE;CONGESTIVE HEART FAILURE,7
"CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT, RE-DO/SDA",7
THALAMIC BLEED,7
AORTIC STENOSIS\BENTALL PROCEDURE/SDA,7
OVARIAN CA/SDA,7
CHEST PAIN;CORONARY ARTERY DISEASE,7
SPINAL MASS,7
TIA,7
FACIAL TRAUMA,7
BRAIN METS,6
ASTHMA; COPD EXACERBATION,6
AORTIC STENOSIS\RIGHT AND LEFT HEART CATH,6
PARTIAL SMALL BOWEL OBSTRUCTION,6
LEFT KNEE OSTEOARTHRITIS/SDA,6
FEMUR FX,6
AORTIC STENOSIS\Transcatheter Aortic Valve Implant (TAVI) with Pump Stand-by (CoreValve) ,6
INTERCRANIAL BLEED,6
RIGHT LOWER LOBE NODULE/SDA,6
SIGMOID VOLVULUS,6
VAGINAL BLEEDING,6
LEFT PLEURAL EFFUSION/SDA,6
ABDOMINAL WALL HEMATOMA,6
CORONARY ARTERY DISEASE;,6
RIGHT HIP OSTEOARTHRITIS/SDA,6
AFIB,6
FAILED LEFT TOTAL HIP REPLACEMENT/SDA,6
INGESTION,6
ANTERIOR MI,6
CAROTID STENOSIS RIGHT/SDA,6
SPINAL CORD COMPRESSION,6
INFECTION,6
CHEST PAIN\LEFT HEART CATH,6
PERFORATED DIVERTICULUM,6
BILE DUCT STRICTURE/SDA,6
CEREBRAL EDEMA,6
ACUTE CHOLANGITIS,6
CONGESTIVE HEART FAILURE\TRANSCATHETER AORTIC VALVE IMPLANT (TAVI) PERCUTANEOUS APPROACH  ,6
RESPIRATORY FAILURE;TELEMETRY,6
URINARY TRACT INFECTION;PYLONEPHRITIS,6
PULMONARY EDEMA\CARDIAC CATH,6
RIGHT CAROTID STENOSIS/SDA,6
PNEUMONIA;HYPOXIA,6
URINARY TRACT INFECTION;ALTERED MENTAL STATUS,6
WOUND DEHISCENCE,6
GASTRIC OUTLET OBSTRUCTION,6
TRIGEMINAL NEURALGIA/SDA,6
PNEUMONIA;ACUTE RENAL FAILURE,6
PRIMARY SCLEROSING CHOLANGITIS/SDA,6
RESP FAILURE,6
MVC,6
ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY,6
NECK PAIN,6
TYPE B AORTIC DISSECTION,6
S/P GUN SHOT WOUND,6
ABDOMINAL AORTIC ANEURYSM;TELEMETRY,6
LEFT KNEE OA/SDA,6
SYMPTOMATIC FIBROID UTERUS/SDA,6
SEPTIC,6
SUICIDAL IDEATION,6
BENIGN PROSTATIC HYPERTROPHY/SDA,6
ASPIRIN OVERDOSE,6
RECTAL CA/SDA,6
FOOD IMPACTION,6
INTRAPARENCHYMAL HEMORRHAGE;TELEMETRY,6
BOWEL ISCHEMIA,6
DELERIUM,6
PARAESOPHAGEAL HERNIA/SDA,6
URINARY TRACT INFECTION/PYELONEPHRITIS,6
BLADDER CA,6
EXTREME PREMATURITY,6
S/P MOTORCYCLE CRASH,6
