diagnosis,category
BOWEL PERFORATION,gastrointestinal
PULMONARY EMBOLI,cardiovascular
NEWBORN,other
PNEUMONIA,infectious
SEPSIS,infectious
CONGESTIVE HEART FAILURE,cardiovascular
CORONARY ARTERY DISEASE,cardiovascular
CHEST PAIN,symptoms_unspecified
ALTERED MENTAL STATUS,symptoms_unspecified
INTRACRANIAL HEMORRHAGE,neurological
GASTROINTESTINAL BLEED,gastrointestinal
ABDOMINAL PAIN,symptoms_unspecified
UPPER GI BLEED,gastrointestinal
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT /SDA,cardiovascular
FEVER,symptoms_unspecified
S/P FALL,trauma_injury
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT/SDA,cardiovascular
DIABETIC KETOACIDOSIS,endocrine_metabolic
LOWER GI BLEED,gastrointestinal
SUBARACHNOID HEMORRHAGE,neurological
HYPOTENSION,cardiovascular
STROKE;TELEMETRY;TRANSIENT ISCHEMIC ATTACK,neurological
SEIZURE,neurological
ACUTE RENAL FAILURE,renal
SUBDURAL HEMATOMA,neurological
PANCREATITIS,gastrointestinal
RESPIRATORY FAILURE,respiratory
S/P MOTOR VEHICLE ACCIDENT,trauma_injury
DYSPNEA,symptoms_unspecified
UPPER GASTROINTESTINAL BLEED,gastrointestinal
SHORTNESS OF BREATH,symptoms_unspecified
ACUTE CORONARY SYNDROME,cardiovascular
LIVER FAILURE,hepatobiliary
CORONARY ARTERY DISEASE\CATH,cardiovascular
BLUNT TRAUMA,trauma_injury
ACUTE SUBDURAL HEMATOMA,neurological
OVERDOSE,toxicology_poisoning
ASTHMA;COPD EXACERBATION,respiratory
ANEMIA,hematologic
CELLULITIS,infectious
RESPIRATORY DISTRESS,symptoms_unspecified
LOWER GASTROINTESTINAL BLEED,gastrointestinal
CHEST PAIN\CATH,cardiovascular
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT /SDA,cardiovascular
UNSTABLE ANGINA,cardiovascular
HEAD BLEED,neurological
GI BLEED,gastrointestinal
URINARY TRACT INFECTION;PYELONEPHRITIS,genitourinary
CARDIAC ARREST,cardiovascular
AORTIC DISSECTION,cardiovascular
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT;AORTIC VALVE REPLACEMENT/SDA,cardiovascular
ARDS,respiratory
CEREBELLAR BLEED,neurological
CRF/SDA,renal
CROHN'S DISEASE/SDA,gastrointestinal
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,respiratory
CHEST PAIN/CATH,cardiovascular
VTACH,cardiovascular
TRACHEOBRONCHIOMALACIA/SDA,respiratory
LUNG CA,oncology
ULCERATIVE COLITIS,gastrointestinal
CONGESTIVE HEART FAILURE;AORTIC STENOSIS,cardiovascular
CLOSED HEAD INJURY,trauma_injury
ISCHEMIC COLITIS,gastrointestinal
AIRWAY OBSTRUCTION/SDA,respiratory
RIGHT HIP OA/SDA,musculoskeletal
DYSPNEA;TELEMETRY,symptoms_unspecified
MITRAL VALVE DISORDER\MITRAL VALVE REPLACEMENT /SDA,cardiovascular
SEVERE HYPERTROPHIC CARDIOMYOPATHY\SEPTAL ETHANOL ABLATION,cardiovascular
PANCYTOPENIA,hematologic
RASH,dermatologic
LUNG MASS,oncology
GASTROINTESTINAL BLEEDING,gastrointestinal
CHEST PAIN;CORONARY ARTERY DISEASE\CATH,cardiovascular
SUBARACHNOID BLEED,neurological
CORONARY ARTERY DISEASE;TELEMETRY,cardiovascular
C1 FRACTURE,trauma_injury
THORACIC AORTIC ANEURYSM,cardiovascular
RIGHT RENAL MASS/SDA,oncology
PERITONITIS,infectious
SUPRAVENTRICULAR TACHYCARDIA,cardiovascular
ST-SEGMENT ELEVATION MYOCARDIAL INFARCTION\CARDIAC CATH,cardiovascular
HEPATOCELLULAR CARCINOMA/SDA,oncology
ESOPHAGEAL FOREIGN BODY,gastrointestinal
RAPID AFIB,cardiovascular
AORTIC VALVE INSUFFICIENCY\AORTIC VALVE REPLACEMENT /SDA,cardiovascular
MELENA,gastrointestinal
PANCREAS TRANSPLANT,other
CONGESTIVE HEART FAILURE;HYPOTENSION,cardiovascular
NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION\CARDIAC CATH,cardiovascular
CHOLEDOCHOLITHIASIS,hepatobiliary
TAMPONADE,cardiovascular
CORONARY ARTERY DISEASE\LEFT HEART CATH,cardiovascular
AICD FIRING,cardiovascular
ACUTE STROKE,neurological
PANCREATIC CA/SDA,oncology
RAPID A-FIB,cardiovascular
ENTEROCUTANEOUS FISTULA,gastrointestinal
POLYSUBSTANCE OVERDOSE,toxicology_poisoning
CARDIAC CATH,cardiovascular
"FEVER,ETIOLOGY UNKNOWN",infectious
ACUTE SUBDURAL HEMATOMA;TELEMETRY,neurological
PROSTATE CANCER/SDA,oncology
TRACHEOBRONCHIAL MALACIA,respiratory
ISCHEMIC LEFT FOOT,cardiovascular
STABBING,trauma_injury
CERVICAL SPINE FRACTURE,trauma_injury
CAROTID STENOSIS\CAROTID ANGIOGRAM AND STENT,cardiovascular
NORMAL PREGNANCY,pregnancy_obstetric
HYPOKALEMIA,endocrine_metabolic
ADULT RESPIRATORY DISTRESS SYNDROME,respiratory
ANGINA;+ETT\CATH,cardiovascular
PROSTATE CA/SDA,oncology
ESOPHAGEAL PERFORATION,gastrointestinal
INTOXICATION,toxicology_poisoning
RUPTURED AAA,cardiovascular
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH AVR,cardiovascular
LEG PAIN,symptoms_unspecified
SUBARACHNOID HEMORRHAGE;ACUTE SUBDURAL HEMATOMA,neurological
INTRAPARENCHYMAL BLEED,neurological
NEW BRAIN MASS,neurological
RHABDOMYOLYSIS,musculoskeletal
DYSPHAGIA,symptoms_unspecified
FEVER;NEUTROPENIA,infectious
MULTI TRAUMA,trauma_injury
ABDOMINAL ABCESS,infectious
LUNG MASS/SDA,oncology
PERFORATED DIVERTICULITIS,gastrointestinal
AMS,symptoms_unspecified
ANKLE FRACTURE,trauma_injury
MR\MITRAL VALVE REPLACEMENT; HEART PORT MINIMALLY INVASIVE/SDA,cardiovascular
CORONARY ARTERY DISEASE;CHEST PAIN,cardiovascular
HEPATORENAL SYNDROME,renal
PULMONARY EMBOLIS;TELEMETRY,cardiovascular
CENTRAL AIRWAY OBSTRUCTION,respiratory
TYPE A DISSECTION,cardiovascular
HIP PAIN,symptoms_unspecified
HYPERCALCEMIA,endocrine_metabolic
PULMONARY HYPERTENSION,cardiovascular
CHEST PAIN\CARDIAC CATHETERIZATION,cardiovascular
HYPOXIA;TELEMETRY,respiratory
FEVERS,infectious
AORTIC STENOSIS\CORONARY ARTERY BYPASS GRAFT WITH AVR,cardiovascular
LITHIUM TOXICITY,toxicology_poisoning
LIVER FAILURE;RENAL FAILURE,renal
AAA,cardiovascular
AORTIC INSUFFICIENCY\AORTIC VALVE REPLACEMENT /SDA,cardiovascular
ISCHEMIC RIGHT FOOT,cardiovascular
INTRAVENTRICULAR HEMORRHAGE,neurological
"ASTHMA,COPD EXACERBATION",respiratory
ACUTE LIVER FAILURE,hepatobiliary
TYLENOL OD,toxicology_poisoning
VOMITING,symptoms_unspecified
SUBARACHNOID HEMORRHAGE;TELEMETRY,neurological
(AML) ACUTE MYELOGENOUS LEUKEMIA,hematologic
HEMATEMESIS,gastrointestinal
LEFT HIP FRACTURE,trauma_injury
NON ST ELEVATION MI,cardiovascular
STROKE;TRANSIENT ISCHEMIC ATTACK,neurological
IMI,cardiovascular
BREAST CANCER/SDA,oncology
ANAPHYLAXIS,other
DIABETIC KETOACIDOSIS;TELEMETRY,endocrine_metabolic
HEMATOMA,trauma_injury
COLON CA/SDA,oncology
UNSTABLE ANGINA;TELEMETRY\CATH,cardiovascular
CORD COMPRESSION,neurological
CORONARY ARTERY DISEASE/SDA,cardiovascular
INCARCERATED HERNIA,gastrointestinal
STROKE;TELEMETRY;TELEMETRY,neurological
FEVER OF UNKNOWN ORIGIN,infectious
MENTAL STATUS CHANGE,neurological
ALLERGIC REACTION,other
"MITRAL REGURGITATION\MITRAL VALVE REPLACEMENT,HEART PORT MINIMALLY INVASIVE /SDA",cardiovascular
UNSTABLE ANGINA\CARDIAC CATH,cardiovascular
TRACHEAL STENOSIS/SDA,respiratory
SUBDURAL HEMATOMA/SDA,neurological
PANCREATIC PSEUDOCYST,gastrointestinal
MVA,trauma_injury
CHIARI MALFORMATION/SDA,neurological
ABD PAIN,symptoms_unspecified
MULTIPLE MYELOMA\BONE MARROW TRANSPLANT,oncology
SHOCK,other
MI,cardiovascular
R/O MYOCARDIAL INFARCTION,cardiovascular
ACUTE CHOLECYSTITIS,hepatobiliary
RENAL CA/SDA,oncology
STEMI\CARDIAC CATH,cardiovascular
COLON CANCER/SDA,oncology
CARDIAC TAMPONADE,cardiovascular
RIGHT HIP FRACTURE,trauma_injury
ACUTE RENAL FAILURE;TELEMETRY,renal
ETOH WITHDRAWL,psychiatric
PNEUMONIA;CONGESTIVE HEART FAILURE,infectious
CORONARY ARTERY DISEASE;AORTIC STENOSIS,cardiovascular
EPISTAXIS,other
ST-SEGMENT ELEVATION MYOCARDIAL INFARCTION\CATH,cardiovascular
METASTATIC MELANOMA,oncology
AORTIC DISECTION,cardiovascular
ICH;TELEMETRY,neurological
AORTIC VALVE INSUFFIENCY\AORTIC VALVE REPLACEMENT /SDA,cardiovascular
GANGRENE LEFT FOOT,infectious
CONGESTIVE HEART FAILURE;CORONARY ARTERY DISEASE,cardiovascular
RECTUS SHEATH HEMATOMA,trauma_injury
BASILAR ANEURYSM,neurological
SEPTIC EMBOLI,infectious
PNEUMONIA;HEMOPTYSIS,respiratory
NECROTIZING FASCIITIS,infectious
LEFT LOWER LOBE NODULE/SDA,oncology
HYPOTENSIVE,symptoms_unspecified
RETROPERITONEAL HEMORRHAGE,trauma_injury
BRAIN ANEURYSM,neurological
INTRACTABLE EPILEPSY/SDA,neurological
FEVER;TELEMETRY,infectious
CERVICAL FRACTURE,trauma_injury
CHOLANGIO CARCINOMA/SDA,oncology
MOTORCYCLE CRASH,trauma_injury
STATUS POST FALL,trauma_injury
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH MVR,cardiovascular
C6 FRACTURE,trauma_injury
S/P NON Q MI\CATH,cardiovascular
NECROTIZING FASCITIS,infectious
HYPOXEMIA,respiratory
DELIRIUM TREMENS,psychiatric
INFECTED LEFT FOOT,infectious
LEFT LUNG NODULE/SDA,oncology
FEVER UNKNOWN ORIGIN,infectious
CHEMO,oncology
CONGESTIVE HEART FAILURE;RESPIRATORY FAILURE,cardiovascular
MITRAL REGURGITATION\CATH,cardiovascular
SPLENIC HEMATOMA,trauma_injury
ISCHEMIC CARDIOMYOPATHY,cardiovascular
POSITIVE STRESS TEST,cardiovascular
PERIPHERAL VASCULAR DISEASE/SDA,cardiovascular
ULCERATIVE COLITIS/SDA,gastrointestinal
AORTIC THROMBUS,cardiovascular
EPIGLOTITIS,respiratory
STE MI,cardiovascular
NAUSEA;VOMITING;DIARRHEA,gastrointestinal
GASTROINTESTINAL BLEED;ANEMIA,gastrointestinal
SEPTIC ARTHRITIS,infectious
PREMATURE,pregnancy_obstetric
"NAUSEA,VOMITING",gastrointestinal
URINARY TRACT INFECTION-PYELONEPHRITIS,genitourinary
S/P GUNSHOT WOUND,trauma_injury
RUPTURED SPLEEN,trauma_injury
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT;MITRAL VALVE REPLACEMENT/SDA,cardiovascular
AIRWAY MASS,oncology
SIGMOID DIVERTICULITIS/SDA,gastrointestinal
INTRACRANIAL HEMMORHAGE,neurological
PANCREATIC FISTULA,gastrointestinal
ACUTE MYOCARDIAL INFARCTION;TELEMETRY,cardiovascular
ST ELEVATION MI\CATH,cardiovascular
FOUND DOWN,other
AORTIC STENOSIS\CARDIAC CATH,cardiovascular
CHEST TRAUMA,trauma_injury
BLADDER CANCER,genitourinary
PNEUMONIA;URINARY TRACT INFECTION,infectious
ASPIRATION,respiratory
TRACHEOBRONCHOMALACIA,respiratory
PNEUMONIA;HYPOTENSION,infectious
ESOPHAGEAL CANCER,oncology
ETOH CIRRHOSIS,hepatobiliary
STATUS ASTHMATICUS,respiratory
AORTIC VALVE DISEASE,cardiovascular
COMMON BILE DUCT STONE,hepatobiliary
CHRONIC OBST PULM DISEASE;CONGESTIVE HEART FAILURE,respiratory
"CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT, RE-DO/SDA",cardiovascular
THALAMIC BLEED,neurological
AORTIC STENOSIS\BENTALL PROCEDURE/SDA,cardiovascular
OVARIAN CA/SDA,oncology
CHEST PAIN;CORONARY ARTERY DISEASE,cardiovascular
SPINAL MASS,neurological
TIA,neurological
FACIAL TRAUMA,trauma_injury
BRAIN METS,oncology
ASTHMA; COPD EXACERBATION,respiratory
AORTIC STENOSIS\RIGHT AND LEFT HEART CATH,cardiovascular
PARTIAL SMALL BOWEL OBSTRUCTION,gastrointestinal
LEFT KNEE OSTEOARTHRITIS/SDA,musculoskeletal
FEMUR FX,trauma_injury
AORTIC STENOSIS\Transcatheter Aortic Valve Implant (TAVI) with Pump Stand-by (CoreValve),cardiovascular
INTERCRANIAL BLEED,neurological
RIGHT LOWER LOBE NODULE/SDA,oncology
SIGMOID VOLVULUS,gastrointestinal
VAGINAL BLEEDING,pregnancy_obstetric
LEFT PLEURAL EFFUSION/SDA,respiratory
ABDOMINAL WALL HEMATOMA,trauma_injury
CORONARY ARTERY DISEASE;,cardiovascular
RIGHT HIP OSTEOARTHRITIS/SDA,musculoskeletal
AFIB,cardiovascular
FAILED LEFT TOTAL HIP REPLACEMENT/SDA,musculoskeletal
INGESTION,toxicology_poisoning
ANTERIOR MI,cardiovascular
CAROTID STENOSIS RIGHT/SDA,cardiovascular
SPINAL CORD COMPRESSION,neurological
INFECTION,infectious
CHEST PAIN\LEFT HEART CATH,cardiovascular
PERFORATED DIVERTICULUM,gastrointestinal
ACUTE RESPIRATORY DISTRESS SYNDROME,respiratory
ATRIAL FIBRILLATION;TELEMETRY,cardiovascular
THORACIC ANEURYSM,cardiovascular
OVARIAN CANCER/SDA,oncology
ASCENDING CHOLANGITIS,hepatobiliary
SPINAL STENOSIS/SDA,musculoskeletal
S/P HANGING,trauma_injury
CEREBELLAR MASS,neurological
PAIN CONTROL,symptoms_unspecified
ATRIAL FIBRILLATION\PHARMACOLOGICAL / NON PHARM MGMT AFIB ABLATION  **REMOTE WEST**/SDA,cardiovascular
TRACHEAL OBSTRUCTION,respiratory
CORONARY ARTERY DISEASE\STENT PLACEMENT,cardiovascular
SUBDURAL HEMATOMA;TELEMETRY,neurological
PNEUMONIA;CHRONIC OBST PULM DISEASE,infectious
AMPULLARY MASS/SDA,oncology
S/P STABBING,trauma_injury
KYPHOSIS/SDA,musculoskeletal
CEREBRAL HEMORRHAGE,neurological
AORTIC VALVE DISORDER\AORTIC VALVE REPLACEMENT /SDA,cardiovascular
INFERIOR MYOCARDIAL INFARCTION,cardiovascular
ARRHYTHMIA,cardiovascular
CHEST PAIN;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,cardiovascular
PLEURAL EFFUSION/SDA,respiratory
LEFT LUNG CA/SDA,oncology
ANEMIA;TELEMETRY,hematologic
LETHARGY,symptoms_unspecified
CHF,cardiovascular
NEAR DROWNING,trauma_injury
CAROTID ARTERY STENOSIS\CAROTID ANGIOGRAM,cardiovascular
ORGAN DONOR,other
WITHDRAWAL,psychiatric
LEFT CAROTID STENOSIS/SDA,cardiovascular
S/P MVC,trauma_injury
SEPSIS;PNEUMONIA,infectious
VT,cardiovascular
SUBGLOTTIC STENOSIS,respiratory
INTERSTITIAL LUNG DISEASE,respiratory
UNSTABLE ANGINA;TELEMETRY,cardiovascular
LEFT RENAL MASS/SDA,oncology
INFECTED GRAFT,infectious
PANCREATIC CANCER/SDA,oncology
V-TACH,cardiovascular
CERVICAL STENOSIS/SDA,musculoskeletal
CHEST PAIN;RULE-OUT MYOCARDIAL INFARCTION,cardiovascular
MYOCARDIAL INFARCTION/CATH,cardiovascular
HEMOPERITONEUM,trauma_injury
3RD DEGREE HEART BLOCK,cardiovascular
VENTRICULAR TACHYCARDIA\VENTRICULAR TACHYCARDIA ABLATION,cardiovascular
MITRAL VALVE DISEASE,cardiovascular
LIVER TX,hepatobiliary
CARDIOMYOPATHY,cardiovascular
EMPYEMA,infectious
PERICARDIAL TAMPONADE,cardiovascular
ASTHMA-COPD EXACERBATION,respiratory
UGIB,gastrointestinal
EPILEPSY/SDA,neurological
HEMORRHAGIC STROKE,neurological
MEDIASTINAL MASS,oncology
CEREBROVASCULAR ACCIDENT;TELEMETRY,neurological
PANCREATIC MASS,oncology
PULMONARY EDEMA\CATH,cardiovascular
SKULL FRACTURE,trauma_injury
MYASTHENIA GRAVIS,neurological
RECTAL BLEEDING,gastrointestinal
DRUG OVERDOSE,toxicology_poisoning
CEREBELLAR HEMORRHAGE,neurological
RIGHT UPPER LOBE NODULE/SDA,oncology
NECK MASS,oncology
CONGESTIVE HEART FAILURE EXACERBATION,cardiovascular
AORTIC STENOSIS;CORONARY ARTERY DISEASE,cardiovascular
